step	accuracy
0	0.6878475546836853
1	0.8280176520347595
2	0.7573601603507996
3	0.7846745252609253
4	0.8352142572402954
5	0.8200850486755371
6	0.827772319316864
7	0.849198579788208
8	0.8519790768623352
9	0.7625940442085266
10	0.7446025609970093
11	0.7800948619842529
12	0.8012757897377014
13	0.831534206867218
14	0.826300323009491
15	0.8408570289611816
16	0.8438829183578491
