step	loss
0	7.536539077758789
1	0.938736081123352
2	0.500308632850647
3	0.47866201400756836
4	0.4604933559894562
5	0.4575112760066986
6	0.4510464072227478
7	0.44806763529777527
8	0.4472326338291168
9	0.442605584859848
10	0.43800655007362366
11	0.43950188159942627
12	0.4303444027900696
13	0.4376131296157837
14	0.4319215714931488
15	0.43713656067848206
16	0.432966947555542
17	0.431208997964859
18	0.42752769589424133
19	0.4300674796104431
20	0.4322367012500763
21	0.42669957876205444
22	0.4287351965904236
23	0.42395928502082825
24	0.43549326062202454
25	0.42560622096061707
26	0.426246702671051
27	0.42514267563819885
28	0.42715349793434143
29	0.4248238503932953
