step	loss
0	0.14134971797466278
1	0.1167212501168251
2	0.10968554764986038
3	0.10690700262784958
4	0.10503076016902924
5	0.10359378904104233
6	0.10280890017747879
7	0.10230147838592529
8	0.10201192647218704
9	0.10153093189001083
10	0.10161220282316208
11	0.10102898627519608
12	0.10069777071475983
13	0.10064267367124557
14	0.1004888191819191
15	0.10050801187753677
16	0.10025303810834885
17	0.09988927841186523
18	0.09947766363620758
19	0.09862624853849411
20	0.09788461029529572
21	0.0976882055401802
22	0.09707803279161453
23	0.0967324823141098
24	0.09668026864528656
25	0.09652398526668549
26	0.09605227410793304
27	0.09605211764574051
28	0.09567694365978241
29	0.09580119699239731
30	0.09562624245882034
31	0.09538254141807556
32	0.09516797959804535
33	0.09507794678211212
34	0.09524016827344894
35	0.09474272280931473
36	0.09447618573904037
37	0.09453921765089035
38	0.09441222995519638
39	0.09448955208063126
40	0.09434209018945694
41	0.09414410591125488
42	0.09408306330442429
43	0.09408609569072723
44	0.09430724382400513
45	0.09394955635070801
46	0.09388229250907898
47	0.0938415378332138
48	0.09372219443321228
49	0.09398411214351654
50	0.09365525841712952
51	0.09369096159934998
52	0.09368877112865448
53	0.0934808999300003
